kills,deaths,assists,last_hits,denies,gpm,xpm,duration,skill,match_result
2,2,1,4,1,329,299,317,1,0
23,2,26,13,0,1425,2349,779,1,1
2,8,0,18,4,340,647,826,1,0
2,1,2,18,0,1176,785,692,1,0
1,0,2,46,7,639,567,639,1,1
1,9,5,8,0,389,1117,898,1,0
9,2,7,33,2,915,1454,965,1,1
6,4,17,12,5,892,1859,925,1,1
0,8,5,1,0,276,722,760,1,0
0,4,1,20,5,366,548,534,1,0
1,1,3,4,1,220,225,785,1,1
10,3,1,73,5,1003,2332,1096,1,1
3,6,2,57,3,513,1317,1053,1,0
2,9,1,24,7,383,600,937,1,0
2,0,11,2,0,497,625,670,1,1
1,10,4,18,4,452,1392,1009,1,0
2,1,17,14,0,680,1773,966,1,1
5,6,3,13,1,821,929,1020,1,0
15,2,7,86,3,1238,1935,1071,1,1
7,6,10,35,4,851,1384,956,1,1
4,8,7,20,0,543,1279,1194,1,0
0,1,0,0,0,94,10,795,1,0
3,0,8,4,0,683,1618,981,1,1
1,2,8,21,0,612,1445,1075,1,1
4,8,3,31,5,593,1653,930,1,0
0,8,2,18,4,277,776,805,1,0
6,2,7,27,3,647,1448,1199,1,1
3,2,12,15,3,733,1611,1116,1,1
0,9,0,6,0,202,333,476,1,0
3,9,6,11,0,369,1170,1165,1,0
8,4,15,38,1,710,1356,1239,1,1
8,2,14,12,0,823,1382,822,1,1
11,0,17,26,4,928,1451,1221,1,1
5,7,13,41,4,665,1499,1231,1,1
8,9,1,12,2,593,1494,951,1,0
1,6,19,11,1,679,1537,1243,1,1
11,0,3,53,4,558,384,754,1,1
6,5,19,30,2,878,1613,1328,1,1
3,8,3,29,3,570,1405,1246,1,0
9,1,12,24,5,843,1654,843,1,1
3,3,4,11,9,339,200,897,1,0
4,1,1,4,1,408,482,736,1,0
4,7,3,23,4,514,1229,1233,1,0
2,1,0,30,2,289,422,674,1,1
3,2,10,55,3,685,1408,1179,1,1
13,10,9,22,2,1027,1769,1313,1,1
2,9,1,9,0,314,1291,866,1,0
1,1,6,6,2,781,982,607,1,1
5,9,12,22,0,701,1728,1286,1,0
13,4,13,54,1,987,1783,1172,1,1
3,2,7,39,3,766,1558,981,1,1
10,1,18,12,1,1033,835,638,1,1
7,3,12,116,28,1217,2391,1307,1,1
1,5,10,53,2,636,1126,1270,1,0
0,1,0,19,5,305,366,317,1,0
8,8,14,21,1,696,1588,1388,1,0
6,2,10,22,6,635,1405,1139,1,1
9,0,7,9,2,296,265,798,1,1
8,5,15,38,5,775,1434,1344,1,1
6,6,6,19,0,1031,1306,1055,1,0
3,0,2,8,0,529,282,792,1,1
3,2,16,35,2,768,1311,1294,1,1
4,8,19,23,2,765,1337,1098,1,1
1,5,3,3,0,205,475,1001,1,0
1,5,9,3,1,568,1246,1378,1,1
10,6,14,30,4,805,1542,1323,1,1
2,7,7,16,0,543,1478,1109,1,0
6,3,4,4,1,319,249,987,1,1
4,9,11,28,1,738,1680,1226,1,0
0,0,0,2,0,88,43,1011,1,0
5,6,15,54,0,888,1744,1322,1,0
5,6,7,9,0,814,1342,1094,1,0
4,1,7,54,7,835,1532,994,1,1
17,2,9,30,0,1003,1461,1200,1,1
2,3,2,4,3,172,161,1209,1,0
2,5,21,9,0,731,1487,1395,1,1
5,9,2,45,2,288,390,1067,1,0
6,11,13,22,3,573,990,1146,1,0
8,4,19,6,0,1001,1837,988,1,1
6,8,9,16,3,731,1299,1369,1,0
2,8,2,22,2,456,1308,1052,1,0
10,4,27,32,0,1008,1907,915,1,1
0,7,3,17,0,382,1373,1216,1,0
4,5,20,13,1,640,1444,1346,1,1
2,10,5,25,7,420,736,1051,1,0
2,7,5,31,2,479,1218,1463,1,0
6,8,4,23,1,546,1320,1316,1,0
13,6,9,39,4,835,1583,1281,1,1
4,8,2,8,1,459,1506,866,1,0
7,4,6,31,6,622,1079,1111,1,0
4,4,5,19,2,554,1383,1318,1,0
15,1,19,39,1,1004,1651,1098,1,1
8,2,8,44,4,952,1331,770,1,1
3,6,10,14,0,714,1677,1082,1,1
2,1,3,21,10,312,339,840,1,1
0,10,3,26,0,330,1361,1136,1,0
4,7,6,41,2,607,1637,1252,1,0
4,4,10,91,9,934,1507,1063,1,1
9,7,8,36,2,876,1542,1258,1,1
11,6,12,54,0,1015,1488,1203,1,1
2,2,1,4,1,329,299,317,1,0
23,2,26,13,0,1425,2349,779,1,1
2,8,0,18,4,340,647,826,1,0
2,1,2,18,0,1176,785,692,1,0
1,0,2,46,7,639,567,639,1,1
1,9,5,8,0,389,1117,898,1,0
9,2,7,33,2,915,1454,965,1,1
1,5,3,17,5,347,952,1007,1,0
6,4,17,12,5,892,1859,925,1,1
0,8,5,1,0,276,722,760,1,0
0,4,1,20,5,366,548,534,1,0
1,1,3,4,1,220,225,785,1,1
10,3,1,73,5,1003,2332,1096,1,1
9,3,16,20,1,901,1662,1160,1,1
3,6,2,57,3,513,1317,1053,1,0
2,9,1,24,7,383,600,937,1,0
2,0,11,2,0,497,625,670,1,1
1,10,4,18,4,452,1392,1009,1,0
2,1,17,14,0,680,1773,966,1,1
5,6,3,13,1,821,929,1020,1,0
15,2,7,86,3,1238,1935,1071,1,1
7,6,10,35,4,851,1384,956,1,1
4,8,7,20,0,543,1279,1194,1,0
0,1,0,0,0,94,10,795,1,0
3,0,8,4,0,683,1618,981,1,1
10,4,9,56,3,894,1708,1256,1,1
1,2,8,21,0,612,1445,1075,1,1
4,8,3,31,5,593,1653,930,1,0
0,8,2,18,4,277,776,805,1,0
7,5,20,101,8,911,1850,1287,1,1
6,8,19,25,5,848,1422,1267,1,1
6,2,16,22,0,835,1572,1287,1,1
6,2,7,27,3,647,1448,1199,1,1
3,2,12,15,3,733,1611,1116,1,1
5,8,10,34,2,691,1574,1268,1,0
0,9,0,6,0,202,333,476,1,0
2,6,17,35,0,780,1052,1296,1,1
3,9,6,11,0,369,1170,1165,1,0
8,4,15,38,1,710,1356,1239,1,1
8,2,14,12,0,823,1382,822,1,1
11,0,17,26,4,928,1451,1221,1,1
5,7,13,41,4,665,1499,1231,1,1
4,5,11,40,1,596,1074,1303,1,0
8,9,1,12,2,593,1494,951,1,0
1,6,19,11,1,679,1537,1243,1,1
11,0,3,53,4,558,384,754,1,1
6,5,19,30,2,878,1613,1328,1,1
3,8,3,29,3,570,1405,1246,1,0
9,1,12,24,5,843,1654,843,1,1
3,3,4,11,9,339,200,897,1,0
4,1,1,4,1,408,482,736,1,0
4,7,3,23,4,514,1229,1233,1,0
2,1,0,30,2,289,422,674,1,1
3,6,11,26,5,750,1297,1382,1,1
3,2,10,55,3,685,1408,1179,1,1
13,10,9,22,2,1027,1769,1313,1,1
2,9,1,9,0,314,1291,866,1,0
1,1,6,6,2,781,982,607,1,1
5,9,12,22,0,701,1728,1286,1,0
13,4,13,54,1,987,1783,1172,1,1
3,2,7,39,3,766,1558,981,1,1
10,1,18,12,1,1033,835,638,1,1
7,3,12,116,28,1217,2391,1307,1,1
1,5,10,53,2,636,1126,1270,1,0
4,8,9,20,0,468,1171,1404,1,0
0,1,0,19,5,305,366,317,1,0
8,8,14,21,1,696,1588,1388,1,0
6,2,10,22,6,635,1405,1139,1,1
9,0,7,9,2,296,265,798,1,1
8,5,15,38,5,775,1434,1344,1,1
6,6,6,19,0,1031,1306,1055,1,0
3,0,2,8,0,529,282,792,1,1
3,2,16,35,2,768,1311,1294,1,1
4,8,19,23,2,765,1337,1098,1,1
1,5,3,3,0,205,475,1001,1,0
1,5,9,3,1,568,1246,1378,1,1
10,6,14,30,4,805,1542,1323,1,1
2,7,7,16,0,543,1478,1109,1,0
6,3,4,4,1,319,249,987,1,1
4,9,11,28,1,738,1680,1226,1,0
0,0,0,2,0,88,43,1011,1,0
5,6,15,54,0,888,1744,1322,1,0
5,6,7,9,0,814,1342,1094,1,0
4,1,7,54,7,835,1532,994,1,1
17,2,9,30,0,1003,1461,1200,1,1
0,16,1,4,0,94,93,1233,1,0
2,3,2,4,3,172,161,1209,1,0
2,5,21,9,0,731,1487,1395,1,1
5,9,2,45,2,288,390,1067,1,0
6,11,13,22,3,573,990,1146,1,0
8,4,19,6,0,1001,1837,988,1,1
6,8,9,16,3,731,1299,1369,1,0
2,8,2,22,2,456,1308,1052,1,0
10,4,27,32,0,1008,1907,915,1,1
0,7,3,17,0,382,1373,1216,1,0
4,5,20,13,1,640,1444,1346,1,1
2,10,5,25,7,420,736,1051,1,0
2,7,5,31,2,479,1218,1463,1,0
1,7,4,54,7,433,1081,1478,1,0
1,7,3,18,2,241,335,1319,1,0
1,0,0,1,2,313,161,157,1,1
2,2,1,4,1,329,299,317,1,0
8,3,12,14,2,883,1000,780,1,1
0,1,5,15,2,296,283,833,1,1
23,2,26,13,0,1425,2349,779,1,1
7,4,5,35,3,803,1059,957,1,1
2,8,0,18,4,340,647,826,1,0
2,1,2,18,0,1176,785,692,1,0
1,0,2,46,7,639,567,639,1,1
1,9,5,8,0,389,1117,898,1,0
9,2,7,33,2,915,1454,965,1,1
4,1,14,22,1,784,1640,1071,1,1
1,5,3,17,5,347,952,1007,1,0
6,4,17,12,5,892,1859,925,1,1
0,8,5,1,0,276,722,760,1,0
0,4,1,20,5,366,548,534,1,0
1,1,3,4,1,220,225,785,1,1
10,3,1,73,5,1003,2332,1096,1,1
9,3,16,20,1,901,1662,1160,1,1
3,6,2,57,3,513,1317,1053,1,0
2,9,1,24,7,383,600,937,1,0
2,0,11,2,0,497,625,670,1,1
2,6,8,20,0,446,1188,1125,1,0
5,6,13,46,1,651,1161,1196,1,0
1,10,4,18,4,452,1392,1009,1,0
1,10,5,14,0,317,1050,1199,1,0
2,1,17,14,0,680,1773,966,1,1
8,7,7,75,2,715,1088,1207,1,0
10,2,9,32,2,762,1394,1233,1,1
5,6,3,13,1,821,929,1020,1,0
7,6,19,6,0,837,1678,1246,1,1
15,2,7,86,3,1238,1935,1071,1,1
7,6,10,35,4,851,1384,956,1,1
4,8,7,20,0,543,1279,1194,1,0
9,4,12,22,6,859,1800,1256,1,1
0,1,0,0,0,94,10,795,1,0
11,4,16,23,1,826,1525,1298,1,1
3,0,8,4,0,683,1618,981,1,1
1,6,4,67,8,490,1163,1275,1,0
10,4,9,56,3,894,1708,1256,1,1
1,2,8,21,0,612,1445,1075,1,1
4,8,3,31,5,593,1653,930,1,0
0,8,2,18,4,277,776,805,1,0
9,5,14,20,1,814,1597,1298,1,1
7,5,20,101,8,911,1850,1287,1,1
6,8,19,25,5,848,1422,1267,1,1
6,2,16,22,0,835,1572,1287,1,1
6,2,7,27,3,647,1448,1199,1,1
3,2,12,15,3,733,1611,1116,1,1
5,8,10,34,2,691,1574,1268,1,0
3,1,19,30,3,677,1357,1308,1,1
0,9,0,6,0,202,333,476,1,0
2,6,17,35,0,780,1052,1296,1,1
3,9,6,11,0,369,1170,1165,1,0
8,4,15,38,1,710,1356,1239,1,1
8,2,14,12,0,823,1382,822,1,1
16,1,11,86,6,1267,2054,1242,1,1
11,0,17,26,4,928,1451,1221,1,1
5,7,13,41,4,665,1499,1231,1,1
4,5,11,40,1,596,1074,1303,1,0
